ID,text,labels,am
0,Happy birthday Roman Abramovich. Treat yourself to a nice present in January. I think Radamel Falcao would fit the bill nicely.,positive,መልካም ልደት የሮማውያን የሮማውያን አብርሃም.በጥር ወር ውስጥ ጥሩ ወዳጃዊነትዎን ይንከባከቡ.Radamel Falcao በቢሮው ላይ እንደሚጣጣሙ አስባለሁ.
1,Tampa Bay Buccaneers: Game-by-Game Predictions for 2nd Half of the Season - Bleacher Report http://t.co/oHPjlwbY,neutral,ታምፓ ቤተር ቡካነሮች-የጨዋታ-ጨዋታ-ጨዋታ ትንበያ ለ 2 ኛው ግማሽ ጊዜ - ብልሽቴም - የደም ማነስ http://t.co/ho/hohpjlywy ሪፖርት ያድርጉ
2,Interesting: Sacha Baron Cohen to play  Freddie Mercury in the latter's biopic http://t.co/9cuku4s8,positive,የሚስብ: SACHA ባሮን ኮሮን በኋለኛው ባዮቲክ ውስጥ ፍሬድዲ ሜርኬሪ Prededie therdywer thereth hypter/9cuku4s8
3,DealBook: Clearwire Is Sought by Sprint for Spectrum: Sprint disclosed on Thursday that it had offered to buy a ... http://t.co/9tz27aLu,neutral,Selegbobe: ማፅዳት ለትርፍ ይፈለጋል-ሐሙስ በሚሽከረከርበት ጊዜ ሐሙስ ተገለጠ ... hp://t.co/9tz27 እነሱ
4,BREAKING NEWS...........Man utd have placed Howard Webb on the transfer list after new signing Mark Clattenberg makes dream debut on sunday.,neutral,ሰበር ዜና ......... የሰው ልጅ UTD አዲስ ፈራጅ ማርክ ክሬቴንትበርግ እሁድ እሁድ ድሪምን ካደረገ ህልም ዝርዝር ከሠራ በኋላ የማስተላለፊያ ዝርዝርን በማስተላለፍ ዝርዝር ውስጥ አቆመ.
5,"Just found out about the @theatreeagles production of Dickens performs A Christmas Carol, surely a must this December. http://t.co/mEhqFeCX",neutral,ስለ @Tatatles ማምረት የገና ካንሰርዎችን ስለሚያከናውን @tictements ምርት ብቻ አውጥቷል.http://t.co/mehahqfecx
6,RT @theQuietus: PJ Harvey to play the Royal Albert Hall for the first time this October http://bit.ly/qdofVB,neutral,RT @Thequess: - ይህ በጥቅምት ወር ለመጀመሪያ ጊዜ ለ http://bit.ly/ddofvB ለመጫወት PJ j jaryy
7,Dollar rises on concerns about global economy: The World Bank cut its growth forecast for Asia Monday and said t... http://t.co/UWUDyUqY,neutral,ዶላር ስለ ዓለም አቀፋዊ ኢኮኖሚ ፍላጎቶች በሚያስነስባቸው ጉዳዮች ላይ የሚያሳድግ: - የዓለም ባንክ የእድገቱን ትንበያ ለአሲያ ሰኞ ዕውቀት መቁረጫ
8,Rui En should be 1st lead. confirm. She is good eh. I like her scene with her niece and yangyang. chemistry damn good.,positive,ሩዲ en 1 ኛ እርሳስ መሆን አለበት.አረጋግጥ.እሷ ጥሩ ናት.የእኔን ትዕይንቷ ከእሷ እና ያጊንግ ጋር እወዳለሁ.ኬሚስትሪ ጥሩ.
9,"@myturtleneck cool! yah, lots of stuff going on that night with Nuit Blanche as well! It's going to be fun! @sbnuitblancheTO",positive,"@MyTurtnleneck አሪፍ!ያህ, በዚያ ምሽት ብዙ ነገሮች ከናቪ ብርድ ጋር እንዲሁ!አስደሳች ይሆናል!@sbnuituctblancho"
10,Michael Jackson radio may be one of the softest stations. But got damn has some good jams.,positive,ሚካኤል ጃክሰን ሬዲዮ በጣም ለስላሳ ከሆኑት ጣቢያዎች አንዱ ሊሆን ይችላል.ግን ጥፋት አንዳንድ ጥሩ ጅራቶች አሏት.
11,"...""including former Kings forward Pavol Demitra, former Kings prospect Jan Marek and many other members of the NHL Family.""",neutral,"""የቀድሞ ነገሥታትን ወደ ፊት ወደ ፊት ለፊት ፓምፕደርሰን, የቀድሞ ነገሥታት ጃንሬክ እና ሌሎች በርካታ የ NLL ቤተሰብ አባላት"" ናቸው."
12,Giants 3rd-round pick failed drug test at NFL Combine: Jayron Holsey knew it would hurt him bec... http://t.co/PZPzx0Dv #newyork #sports,negative,ግዙፍ ሰዎች በ NFL የተጣራ የ 3 ኛ-ዙር የመጫወቻ ዕፅ ምርመራ: - ጃኒ ሆሴል እሱ እንደሚጎዳው ያውቅ ነበር.
13,"Drove the bike today, about 40 miles. Felt like Jim carrey on me myself and Irene!",neutral,ከዛሬ 40 ማይል ያህል ብስክሌቱን ዛሬ ይንከባለል.እኔ ራሴ እና አይን በእኔ ላይ እንደ ጂም ካርዲ ተሰማኝ!
14,Leah from teen mom 2 is pregnant with her 3rd child and is getting married for the 2nd time to a new guy.. Congrats you're 19.,positive,በአሥራዎቹ ዕድሜ ውስጥ የምትገኝ ልያ ከ 3 ኛ ልጅ ጋር ፀነሰች እና ከ 2 ኛው ጊዜ ወደ አዲስ ሰው ትዳር ናት .. እርስዎ 19 ናቸው.
15,"@matt_edmeades: Sheffield Wednesday linked with roger Johnson, Ivan klasnic and Michael Antonio. Big coups if they get them. #massive ? ;)",positive,"@Matt_adress: sffield ረቡብ ቀን ሮፈር ጆንሰን, ኢቫ ካላኒክ እና ሚካኤል አንቶኒዮ.ትልልቅ ዱካዎች ካገኙባቸው.# ልባስ?,)"
16,taylor swift is coming with ed sheeran june 29th? most perf news i've heard all night.,positive,ቴይለር Shifif ከኤዲ የሸርራን ሰኔ 29 ቀን ጋር እየመጣ ነው?በጣም perf ዜና ሁሉንም ሌሊቱን ሰማሁ.
17,hmmm how about this book for my birthday.. and El Clasico in La Liga will happen on March 3! sweeeeet! http://t.co/3qSFAiIU,positive,እምምም ይህ መጽሐፍ ስለ ልደቴ (ለልጃለሁ) ይህ መጽሐፍ. እና ኤል ክላርክሶ በሊ ሊና ውስጥ በመጋቢት 3 ላይ ይከሰታል!SWEEEEETEET!http://t.co/3SFAIIU
18,idk if its still thursday in Hawaii since its friday here but heres a #TBT play it for the homie one time!! http://t.co/LeCNuNlZ,neutral,"ከቢዋይ ውስጥ አሁንም ቢሆን ከድህሩ ጀምሮ አሁንም ሐሙስ ከሆነ, ነገር ግን አንድ #TBT ለሆኑ አንድ ጊዜ አንድ ጊዜ ይጫወታል !!http://t.co/lecnounlz"
19,"Today i saw many great news, like _HP Touchpad_ discount and another news is about Nokia N9 Swipe. This new... http://t.co/NYhVSAe",positive,ዛሬ እንደ ኤች.አይ.ሲ.ሲ.ፒ.ፒ. ቅናሽ እና ሌሎች ዜናዎች ስለ ኖኪያ N9 ማንሸራተት ያሉ ብዙ ታላላቅ ዜናዎችን አየሁ.ይህ አዲስ ... http://t.co/yhvasee
