ID,tweet,label,eng_translated
am_train_00001,Tesfaye ለካስ ጭብል ለብሰሽ የፕሮፌሰርን ፎቶ ለጥፈክ እልም ያልክ ባዳ ነክ እፈር ትንሽ,negative,TesFaye for Cash Wonkey Photo of Profrton Photo
am_train_00002,ይሄው ነው አይደል የእውቀትሽ ጥግ....በሰሚ ሰሚ ከምትናገሪ ለምን ታሪክ አታነቢም....ደሞ ራስሽን አታስገምቺ,negative,"This is not what it is saying No, Don't you say that you say .... Do not read Hatestone of your opening"
am_train_00003,ዘገበ ይባላል? ሌላ የሚባል ነገር ካለ አንተዉ ንገረን!,negative,"Is called a native?If there is something else, talk to us!"
am_train_00004,?? ድሮ በዘመነ ኮዳክ ፎቶ ቤት ፍላሹ ፏ ሲል አይናችን ተጨፍኖ እንዳይወጣ የምንቸክለውን ነገር አስታወሰኝ ???? ምን ሆኖ ነው ግን? ከሗላ ያለው ቴዲ ሁሉ ፊቱን አዞረ እኮ ??,negative,"??In the Trinity Photo of Dead Kodache House, did I remember what you have to worry about our eyes ????What is it?Teddy's Teddy turned his face?"
am_train_00005,ዠልጥ?? ???? ገገማ,negative,Glue ??????Review
am_train_00006,ለመጥለቅ ያህል ወሳኝ ነገር ያስፈልጋል ልያታይ ጥስው ዶረበ ጽርቅ ድንአ ምንም ሳይነሱ ሉቃብጠይ ንዱንአ ንችታለሁከ ይአ,negative,Important to List
am_train_00007,የነዚህን አይነት ወሬ አራጋቢ ነው!  Do you get me!!?,negative,It is the pest of this kind of thirst!DO YOU GET ME !!
am_train_00008,ያንተ የበታችነት ስሜት ነው፣ ማንም አክራሪ ሰክሮ እየመጣ መስጂድህን ሲያቃጥልብህ፣ እኛ ብንናገር አንተ መልሰህ እኛን ምን አገባቹ ትላለህ።ያንተን አይነት አለቅላ…,negative,"It's your sense of inferiority, and that no one in an extremism, what you say, ""What do you say that you are back to you?"
am_train_00009,አብይ እራሡ ጀዋርን እንደ መጠቀሚያ አርጎታል ለዚህ ሁሉ ተጠያቂዉ አብይ ነዉ,negative,"Abii Rair Jawrats as an acquaintance, and the other"
am_train_00010,። ጥንብ ዘረኛ ጥፋ ከዚህ መርዝ,negative,.An erators of raw
am_train_00011,Arte በገናው ምድር በዚህ ሲያስተክዘን አመሸ,negative,ARTE asserted in the harp of the harp
am_train_00012,ላይ !   የእነዛ 86 ምስኪን ንፁሃን ምንዱባን ነፍሳት የተቀጠፈ ህይወት አይረሳም !  በአንድ ቀን ጀምበር…,negative,On!A life of the souls of those 86Start at a day ...
am_train_00013,እኔ ሞቻለሁ ???????????????????????? ጌታ ሆይ ኧረ ና!,negative,"I'm dead ?????????????Lord, come forth!"
am_train_00014,ያንች ነፃነት በአማራ ህዝብ ነው ወሬኛ,negative,Here is that freedom in Amhara
am_train_00015,እወድሽ ነበረ ዛሬስ ጠላሁሽ  እንደ ሰፌድ ቆሎ ያም ያም ዘገነሽ፧ ወይ ጉድ,negative,"I love you today, and I hated it like a seam.Either"
am_train_00016,ታብሌት ኮምፒውተሮቹ በሥጦታ የተገኙ ናቸው ወይሥ በህዝቡ ገንዘብ የተገዙ?የከተማ አሥተዳደሩ በጀት ይዞለት ነበር?ወይሥ ወዘፈቀደ ከንቲባ?…,negative,Table of the compositions are the basis of the gift?
am_train_00017,ከመወደዱ የተነሳ ዱለት በሲኒ ማስቀመጫ ከመቅረብ አልፎ በቆርኪ የሚቀርብበት ጊዜ ሩቅ አይደለም! ??,negative,"It is not a time to approach a direct in a cynic, causing a direct.??"
am_train_00018,የ ሰው ህይወት ቀልድ ሆነ በቃ,negative,The life of man became a joke
am_train_00019,ሴት ብሆን አይደለም ይሄን በሬ ወለደ ብልሽ ታምኚኝ ነበር...እድሌ ነው??,negative,"I'm not a woman, nor a crazy curse ... Is it ??"
am_train_00020,ምን እያልኳት ምን ትላለች አሉ .. የከተማው ሙታንታ ሳይታጠቅ ያደገ ፎሊስ በል ፎከቴያሙ ድይቆን ሁሉ አልቀሩ,negative,What she says to say.
am_train_00021,የቆሸሸ ሟች ለመደበቅ እዚያ እንደቆሙ አውቃለሁ,negative,I know that a dirty mortal is going there to hide
am_train_00022,አንዳንድ   ሰዎች  ኢንሻላህ ኢራን አሜሪካን  እንደምታሸንፍ  አስረግጠው  ሲበጠረቁ እያዬሁ ነው ።  - - ሐይማኖትና ጎሰኝነትኮ ሃቅን ለመድፈን ተወዳዳሪ  የላቸውም።,negative,"Some people investigate him that Iran Winen Iran, and I'm looking at it.- - Religion and Tribe Don't have the competitiveness to burn."
am_train_00023,ደግ አደረገችህ ምን ብለህ አፍህን ከፍተህ ነው,negative,She made you kind and opened your mouth
am_train_00024,መንግስት ስለ ዲሞክራሲ ሲቀደድልህ አትስማው። የሚያደርገውን ነገር በደንብ ተከታተል። ያኔ ዓላማው ይገለጥልሃል።  የሃሳብ ነፃነትን የሚከለክል መንግስት ስለ ብልፅግና ቢያወራህ እንኳን…,negative,Do not listen to the government when you are angry about democracy.Keep watch over what he does.That purpose will be revealed.Even if the government prohibits your perception of
am_train_00025,ካቀድነው በላይ ታጋች ያሥፈታን ቢሆንም ከእቅዳችን ጋ ይሠናሠል ዘንድ አንዳንዶቹን መልሠን ለአጋቾቹ ሠጥተናል! ወይዘሮ ንጉሡ ጥላሁን! ••• ! :D :D :D !,negative,"If we have put it hard, we have settled some of the hardships, that we may be king!Mrs. the king, the king!•••!: D: D: D!"
am_train_00026,ጉዳዩ አገር ሰላም ብሎ የተቀመጠን ህዝብ ለበቀል እና የርስበርስ ጦርነት የሚቀሰቅስ ነው።,negative,The people who are here for peace that the people lay a country will bite the war of vengeance and inheritance.
am_train_00027,መጋኛ,negative,The military
am_train_00028,አይባልም,negative,It is not said
am_train_00029,ብልፅግና ፓርቲ አዲስ ፓርቲ እንጂ የኢሕአዴግ ውህድ አይደለም ኦቦ በቀለ ገርባ ለ ኦ ኤም ኤን የሰጡት አስተያየት,negative,"The prosperity party, not the new part of, but not the Ooo Gentle Gerba"
am_train_00030,በ3ኛ አካል ይጣራል የንተ መደሰት እንድንጠራጠር አርጎናል,negative,The centers of the 3rd body arranged for us to be suspected of your enjoyment
am_train_00031,«ባሐሩን የምታደፈርስ መስሏት አሞራ አለማወቋ እና ለውንብዳናዋ ትልቅ ባህር ላይ ትሸናለች እንጂ የሷ ሽንት ትልቁን ባህር የማደፍረስ አቅም የለውም»  አቦ ለማ መገርሳ  በሰላም አሜሪካ ገብተዋል!,negative,"""Leaving the Amanton is not the Amazon, but the urine is not capable of breasting the largest sea, but the urine is in peace."
am_train_00032,ቱ በሉ የመራራ ፓርቲ በከበቡሽ ካልተዋጠ!  የመራራ ፓርቲ እንደ ልጥ መዋጡ ነው። ያኔ ኧረ ጀዌ (ከበቡሽ) ፓርቲዬን ዋጠው ቢለን መስሚያዬ ...  ወይኔ መራራ ስሜ መራራ,negative,"If the Mountain party is not afraid of you.The Mountain party is like a mouse.It's in my case, Yeh Jwwe (Cash) Partner ... Oil bitter myth"
am_train_00033,አንተን እስከ ቤተሰቦችሁ ወደቃሌቲ ማረሚያ ቤት ያስገባህ????????,negative,To your family to your family ????????????????????
am_train_00034,በጎች በሚዘረፉበት አገር? አንፎጋገር,negative,In the country where sheep rob?Angeling
am_train_00035,አይ ሳሙኤል በቃ የምትበላውን መፖሰት አስተማርክብን ጠርገው የሚበሉት መጡ,negative,No Samuel just came to the piggy that you eat
am_train_00036,ይህ ሁሉ ለማያውቁ ሰወች እስልምና ይመስላቸዋል በጭራሽ የለውም። ይህ ሰይጣናዊ ዛር አለያም እንደ አዩ ጭፋ አታላይ ነው።,negative,All of this has never thought that Islamic Islam.This churian ora nor will be like a saw.
am_train_00037,አሁን ያሉትም ያው ናቸው ባክህ! ምን ተቀየረ፥ መሪው ያለውን አሜን እያለ የሚቀጥል ካድሬ ነው። መሪው ደግሞ ከእኔ በላይ አዋቂ የሚል ቱልቱላ ነው :),negative,"And now they are the same.What happened, the Leader who continues his leader.The leader is also an adult ""Tuluula :)"
am_train_00038,ባክሽ ፒፕሉ ሲያሽቋልጥ ነው ባለፈውሳምንት ፍትህ ለቀይ ቀለም እሲኪያስብል ቀይ ለብሶ ህዝቤ ሶሻል ሚዲያውን አጨናነቀው  ደሞ አሁን ይሄ ምነው ሸዋ,negative,"Bacter Pip is simply when the justice is dropped early, my people wear the Social Society"
